ï»¿OBJECTID_1,OBJECTID,County,FIPS,COUNTYFP10,Shape_Leng,Count_,LastUpdate,Shape__Area,Shape__Length,Deaths
117,117,Hutchinson,48233,233,192872.00486,16,1588523396286,2322948398.91211,192872.004859858,
118,118,Irion,48235,235,208547.686575,,1588523396286,2712129493.42188,208547.686575309,
119,119,Jack,48237,237,196262.878918,4,1588523396286,2375762378.72754,196262.878917646,
120,120,Jackson,48239,239,231641.554437,14,1588523396286,2213434404.76855,231641.554437009,
121,121,Jasper,48241,241,385045.481749,18,1588523396286,2501076546.81152,385045.481748728,1
122,122,Jeff Davis,48243,243,338858.614534,,1588523396286,5841005512.20117,338858.614534379,
123,123,Jefferson,48245,245,303141.127705,319,1588523396286,2871255384.375,303141.127705424,22
124,124,Jim Hogg,48247,247,239262.525628,3,1588523396286,2945956061.85059,239262.525628379,
125,125,Jim Wells,48249,249,258643.820304,5,1588523396286,2247893626.75488,258643.820303876,
126,126,Johnson,48251,251,184518.494304,82,1588523396286,1894861812.06836,184518.494303506,4
127,127,Jones,48253,253,197880.447793,62,1588523396286,2418432333.18359,197880.44779279,
128,128,Karnes,48255,255,204121.833274,3,1588523396286,1946664421.57715,204121.833273536,
129,129,Kaufman,48257,257,204438.324866,87,1588523396286,2084048484.55762,204438.324866397,1
130,130,Kendall,48259,259,165568.20823,16,1588523396286,1710853304.6084,165568.208229747,
131,131,Kenedy,48261,261,301563.303819,,1588523396286,5046612576.73535,301563.303818501,
132,132,Kent,48263,263,192476.230826,,1588523396286,2331186243.63086,192476.230826005,
133,133,Kerr,48265,265,262821.720414,5,1588523396286,2856921649.20703,262821.720413528,
134,134,Kimble,48267,267,249407.556495,,1588523396286,3227355689.59082,249407.556495064,
135,135,King,48269,269,194288.664329,,1588523396286,2359436503.57813,194288.664328887,
136,136,Kinney,48271,271,249878.717605,,1588523396286,3524554970.99512,249878.717605423,
137,137,Kleberg,48273,273,271105.492325,10,1588523396286,2824089393.60938,271105.492324918,1
138,138,Knox,48275,275,218280.479681,1,1588523396286,2209929849.55371,218280.479680994,
139,139,Lamar,48277,277,273974.331028,67,1588523396286,2410663111.31738,273974.331027868,
140,140,Lamb,48279,279,205450.715853,4,1588523396286,2630946279.62695,205450.715852646,
141,141,Lampasas,48281,281,201445.205768,4,1588523396286,1841217724.43555,201445.205767509,
142,142,La Salle,48283,283,248822.588474,1,1588523396286,3863553719.83008,248822.588473799,
143,143,Lavaca,48285,285,198590.59946,6,1588523396286,2505426750.70508,198590.599460436,1
144,144,Lee,48287,287,229958.09905,2,1588523396286,1635785826.0625,229958.09905017,
145,145,Leon,48289,289,297770.307065,6,1588523396286,2786892144.20703,297770.307064793,
146,146,Liberty,48291,291,240668.236291,45,1588523396286,3034932016.48047,240668.23629137,
147,147,Limestone,48293,293,198026.855686,13,1588523396286,2406661646.44824,198026.855685989,1
148,148,Lipscomb,48295,295,197280.832282,2,1588523396286,2423040061.78223,197280.832281529,
149,149,Live Oak,48297,297,242239.675936,5,1588523396286,2789563026.62988,242239.675936116,
150,150,Llano,48299,299,234408.931271,3,1588523396286,2491162896.60352,234408.931270926,
151,151,Loving,48301,301,215840.378301,,1588523396286,1745377240.05957,215840.378301413,
152,152,Lubbock,48303,303,192992.28027,549,1588523396286,2326757689.87939,192992.280270008,44
153,153,Lynn,48305,305,192301.790495,5,1588523396286,2306798120.4375,192301.790495162,1
